latitude,longitude,n_units
34.18251038,-86.15170288,24
34.93037796,-86.98132324,12
34.61334991,-86.5608139,50
33.53747177,-86.8788147,56
30.2607708,-87.71422577,56
33.31414032,-85.75579834,40
30.40374947,-87.66271973,34
34.33617401,-86.31928253,32
32.30260468,-86.235466,13
34.28463364,-87.82084656,12
33.27458954,-88.09382629,24
34.5172348,-86.25518799,24
34.17617035,-86.86321259,20
32.0026207,-87.31954956,32
33.6148262,-86.6805191,56
32.31383514,-86.23935699,76
32.69999313,-87.61832428,32
34.55298996,-86.99467468,55
33.19617462,-86.22967529,24
33.14597702,-87.54747009,80
33.59860611,-86.49465942,24
31.42291451,-86.95937347,32
32.44169617,-87.009758,54
34.22560883,-86.16527557,40
32.12989426,-85.72411346,32
31.16988564,-85.40470886,56
32.60390091,-88.19660187,24
33.17089844,-85.3707962,42
31.79895401,-85.97808838,36
31.09697533,-87.08787537,48
32.44116974,-87.02471161,48
30.75650406,-88.13574982,56
33.17149734,-86.61294556,40
32.47977066,-86.42878723,44
31.30044556,-85.72161865,42
33.6546936,-85.58155823,24
32.860569,-86.6417923,56
31.3194561,-85.84716034,48
32.17864609,-86.56724548,20
33.94970322,-86.46869659,48
34.76181412,-86.59886932,52
32.09539795,-88.2091217,24
30.56417656,-88.20370483,55
31.03016663,-87.49591827,24
31.89167404,-87.73661041,48
32.35038376,-86.31676483,56
34.45749664,-88.13835907,40
33.51841736,-86.80266571,62
33.88937759,-88.14897919,40
33.93881607,-87.8423233,40
32.63156128,-87.30613708,28
30.53816795,-87.70011902,40
31.53540802,-87.35204315,48
33.43062973,-86.12377167,18
31.8302803,-86.6398468,56
34.78083038,-86.97777557,48
34.68373489,-86.7602005,48
31.25790215,-85.40936279,40
33.38830566,-86.79095459,192
33.88926315,-87.5164032,40
31.70703506,-86.26324463,40
33.80694199,-85.75386047,40
30.39533806,-88.24541473,20
34.72550964,-87.67919159,48
34.49819183,-85.84911346,32
32.32247543,-86.23125458,144
31.86715889,-85.15705872,40
32.44343948,-86.66184235,28
31.81913185,-86.61650085,56
34.45526505,-86.94328308,28
32.45886993,-85.00848389,32
32.55435944,-85.92235565,56
34.48621368,-87.28287506,24
34.23551178,-87.5989151,40
32.30791855,-86.34949493,176
30.67590904,-88.05059814,224
34.45446777,-86.93274689,48
32.34651184,-86.36624146,41
34.6605072,-86.01093292,56
33.52552032,-86.7696991,64
30.61365318,-87.75048065,56
34.71451569,-86.6005249,58
32.93722153,-85.9731369,48
34.88135529,-87.6729126,48
34.75336838,-86.59955597,56
33.22935486,-87.5605545,60
33.96244049,-86.02812958,56
33.97333908,-85.9549408,40
34.45614624,-86.94630432,28
33.17773438,-86.28484344,32
33.45103073,-86.11391449,56
30.2607708,-87.71422577,72
30.56312561,-88.20374298,94
32.51952744,-86.37371063,24
32.31383514,-86.23935699,44
33.66240692,-85.86052704,56
32.30925751,-86.35260773,24
34.29423141,-86.20761871,48
32.65987396,-85.37014771,70
31.82541084,-85.96825409,42
33.62568665,-86.70697784,72
32.42638397,-86.26979828,88
33.56139374,-86.86941528,56
34.45742035,-86.927742,40
34.17980957,-85.7579422,24
33.2290535,-87.56053162,72
34.85993576,-87.69022369,56
33.66179657,-86.66629028,96
32.43680954,-87.01465607,48
32.62032318,-85.41829681,56
34.76970673,-86.57229614,48
30.38844872,-87.67915344,80
32.63478088,-85.44095612,56
31.54883003,-87.88173676,40
34.78364182,-86.98011017,84
33.59519577,-86.27362061,56
34.73153687,-86.58637238,69
34.07049179,-86.77345276,34
32.47512436,-86.41266632,80
33.11928177,-86.85328674,72
32.46410751,-85.03295898,56
30.63993835,-88.22905731,156
33.96355438,-86.45616913,40
33.85395813,-87.26995087,56
30.82167435,-88.07626343,192
